config,folds,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,prec10_mean,prec10_std,prevalence_mean
LogReg,6,0.18851193282199805,0.14296381109031361,0.6297341515003997,0.16884825428130276,0.17499999999999996,0.21492892882170245,0.04835325763958153
RandomForest,6,0.10889711551156561,0.02669411044154254,0.640842336075726,0.18916499519710253,0.09015151515151515,0.05333462464001482,0.04835325763958153
HistGB,6,0.13266421795758734,0.0770468960314345,0.6275149051221587,0.14513255240739278,0.10833333333333334,0.06972166887783963,0.04835325763958153
LightGBM,6,0.09655335498394284,0.02802474073533812,0.6790346561878421,0.2045977696718349,0.09570707070707073,0.06363936981836388,0.04835325763958153
XGBoost,6,0.09753012812718247,0.029287255855108853,0.6329598005503944,0.156344658060228,0.07626262626262625,0.038098353539144356,0.04835325763958153
CatBoost,6,0.1279823137842608,0.03078091960738228,0.7099662145303451,0.1608937014276485,0.14015151515151517,0.05501272913889529,0.04835325763958153
DumbRule,6,0.09093133604316693,0.08537608431219719,0.39510877569067016,0.09734679040110558,0.04722222222222222,0.052086111037040986,0.04835325763958153
LogReg (stride-3 train),6,0.17524753203499158,0.14420336620247154,0.6254461729894581,0.1613226683328611,0.15833333333333333,0.17567330790735144,0.04835325763958153
