model,k_pct,folds,recall_mean,recall_std,precision_mean,precision_std,yield_cost_mean,yield_cost_std
CatBoost,5,6,0.027777777777777776,0.06804138174397717,0.06666666666666667,0.16329931618554522,0.03740329923122679,0.010289699324656459
CatBoost,10,6,0.37222222222222223,0.19484086574166867,0.14015151515151517,0.05501272913889529,0.034241461858107586,0.0052278369396057634
CatBoost,15,6,0.37222222222222223,0.19484086574166867,0.0929057734204793,0.03397193676515961,0.03254509100521763,0.005349990407987077
CatBoost,20,6,0.37222222222222223,0.19484086574166867,0.06994478951000689,0.025764435238588113,0.03133337191791396,0.0073337664681589745
CatBoost,25,6,0.6083333333333333,0.33395774849189797,0.08751514556112257,0.023865710610395136,0.027153894791751784,0.007231289808174681
CatBoost,30,6,0.6361111111111111,0.3037573349213456,0.0830191798941799,0.039404003446773334,0.023749104055359644,0.007143765103067932
CatBoost,40,6,0.6916666666666668,0.265361388801511,0.06986373922673215,0.029908402040557325,0.01948437326248931,0.00743652812283446
DumbRule,5,6,0.04722222222222222,0.08193267335418127,0.06666666666666667,0.10327955589886446,-0.010750390111457472,0.010345093719081887
DumbRule,10,6,0.075,0.0905231707600018,0.04722222222222222,0.05208611103704099,-0.007869902859859433,0.003784277188789085
DumbRule,15,6,0.11666666666666665,0.13944333775567924,0.06258169934640523,0.09685642725023265,-0.0073333846500407635,0.0029599992823999225
DumbRule,20,6,0.14444444444444446,0.16555182695279264,0.05457211870255348,0.07546379128188078,-0.005642640857427676,0.0035852357975370243
DumbRule,25,6,0.19999999999999998,0.1632993161855452,0.050468611847922194,0.057170616457211706,-0.005776858810293832,0.0070138133516775255
DumbRule,30,6,0.22777777777777777,0.20046242836298572,0.04623015873015873,0.049740919855664915,-0.005745351359528577,0.008604584065319837
DumbRule,40,6,0.26944444444444443,0.25828852658018503,0.04266735679779158,0.04911364832144846,-0.002756770902491173,0.012830698250146266
LogReg,5,6,0.19999999999999998,0.12472191289246472,0.18888888888888888,0.1276569477008451,0.04906983695876039,0.03439625040011825
LogReg,10,6,0.2833333333333333,0.16832508230603463,0.17500000000000002,0.21492892882170245,0.03503159479601622,0.02762426749805202
LogReg,15,6,0.4611111111111111,0.25855725062711327,0.16467864923747277,0.13421184759031263,0.033264938240006384,0.02129847049837724
LogReg,20,6,0.47500000000000003,0.26325948331552185,0.1317632850241546,0.11758564756405213,0.02942520881762038,0.017648923887841853
LogReg,25,6,0.47500000000000003,0.26325948331552185,0.10563807839669909,0.09486643260335792,0.026758763711881933,0.013888053630714055
LogReg,30,6,0.5444444444444444,0.2680519573736626,0.09775132275132276,0.08456968971153574,0.024021671626172473,0.012093655946531766
LogReg,40,6,0.6194444444444445,0.31098707845015516,0.08577467218771567,0.07459954011400026,0.021199868559767267,0.007850644076554501
